Model,Defense,Attack,Epsilon,SampleScope,CleanMacroF1,AttackMacroF1,MacroF1Drop,MacroF1Retention,CleanAUC,AttackAUC,AUCdrop,AUCRetention,CleanHamming,AttackHamming,HammingIncrease,MicroF1Change
Fine-tuned,None,FGSM,8.0,Full test,0.20044548382020763,0.1344787840737211,0.06596669974648653,0.6708995459051785,0.784159751034942,0.7039997794207411,0.08015997161420085,0.8977759678325686,0.07170607170607171,0.14502164502164502,0.07331557331557331,-0.06665268028260057
Fine-tuned,None,FGSM,16.0,Full test,0.20044548382020763,0.0985455351694586,0.10189994865074903,0.4916326039944626,0.784159751034942,0.6729621115225187,0.11119763951242323,0.8581951708619787,0.07170607170607171,0.1734931734931735,0.10178710178710179,-0.0958980806632222
Fine-tuned,None,FGSM,32.0,Full test,0.20044548382020763,0.08797035602401135,0.11247512779619628,0.43887422329214254,0.784159751034942,0.6419247734816683,0.14223497755327363,0.8186147945421192,0.07170607170607171,0.19594294594294595,0.12423687423687424,-0.11432751526922388
Fine-tuned,None,PGD,8.0,Full test,0.20044548382020763,0.10541938894019731,0.09502609488001032,0.5259254882227963,0.784159751034942,0.6711111038654536,0.11304864716948837,0.8558346726922854,0.07170607170607171,0.26162726162726163,0.18992118992118992,-0.1340815131144303
Fine-tuned,None,PGD,16.0,Full test,0.20044548382020763,0.08661010405605815,0.11383537976414948,0.4320880790397068,0.784159751034942,0.6062904864821066,0.17786926455283536,0.7731721574359285,0.07170607170607171,0.3175990675990676,0.24589299589299587,-0.15464414996744738
Fine-tuned,None,PGD,32.0,Full test,0.20044548382020763,0.07465811780318195,0.12578736601702567,0.37246096235397147,0.784159751034942,0.5905276072817335,0.19363214375320847,0.7530705401576008,0.07170607170607171,0.3436563436563437,0.271950271950272,-0.1604843555947278
Fine-tuned,None,DeepFool,8.0,Full test,0.20044548382020763,0.049235825914424824,0.1512096579057828,0.24563200415424466,0.784159751034942,0.501095840131357,0.28306391090358496,0.6390226474516266,0.07170607170607171,0.47644022644022643,0.40473415473415475,-0.19476365310692267
Fine-tuned,None,DeepFool,16.0,Full test,0.20044548382020763,0.03699341334729594,0.1634520704729117,0.18455598321425737,0.784159751034942,0.33756388980670654,0.4465958612282354,0.43047846993063127,0.07170607170607171,0.6156343656343657,0.543928293928294,-0.21005511429255638
Fine-tuned,None,DeepFool,32.0,Full test,0.20044548382020763,0.032252107675971954,0.16819337614423568,0.160902141875648,0.784159751034942,0.22493606636577682,0.5592236846691652,0.2868497982316791,0.07170607170607171,0.7047674547674547,0.633061383061383,-0.2191093007764373
Fine-tuned,None,C&W,8.0,300-image attack subset,0.20824657138620156,0.05091842737907814,0.15732814400712342,0.24451027952171125,0.7793202199394476,0.4163647051064914,0.3629555148329562,0.5342665241495242,0.07595238095238095,0.4830952380952381,0.40714285714285714,-0.20289644651358535
Fine-tuned,None,C&W,16.0,300-image attack subset,0.20824657138620156,0.038221137135956276,0.1700254342502453,0.1835378939568405,0.7793202199394476,0.26230709399405155,0.5170131259453961,0.33658448386522366,0.07595238095238095,0.6514285714285715,0.5754761904761905,-0.22134416285013195
Fine-tuned,None,C&W,32.0,300-image attack subset,0.20824657138620156,0.03180058311877481,0.17644598826742675,0.15270639466999608,0.7793202199394476,0.14559822034063852,0.633721999598809,0.18682720737305053,0.07595238095238095,0.7666666666666667,0.6907142857142857,-0.23294154358227587
Fine-tuned,None,Square,8.0,300-image attack subset,0.20824657138620156,0.16575804519166576,0.0424885261945358,0.7959701045174034,0.7793202199394476,0.7507637422175387,0.028556477721908835,0.9633571964498397,0.07595238095238095,0.11547619047619048,0.03952380952380953,-0.05608447162582661
Fine-tuned,None,Square,16.0,300-image attack subset,0.20824657138620156,0.12385956916306098,0.08438700222314058,0.5947736298301809,0.7793202199394476,0.666091579650025,0.11322864028942259,0.8547084530949032,0.07595238095238095,0.18047619047619048,0.10452380952380953,-0.12362648689879813
Fine-tuned,None,Square,32.0,300-image attack subset,0.20824657138620156,0.07953651570617856,0.128710055680023,0.3819343347491418,0.7793202199394476,0.5888438575292168,0.1904763624102308,0.7555865258763199,0.07595238095238095,0.3597619047619048,0.28380952380952384,-0.1721124355340005
