Setting,Model,Defense,Attack,Epsilon,SampleScope,N,MicroPrecision,MicroRecall,MicroF1,MacroPrecision,MacroRecall,MacroF1,MeanAUC,HammingLoss
CLAHE vs DeepFool eps=32,Fine-tuned,CLAHE,DeepFool,32.0,Full test,2574,0.04356554908652881,0.1935771632471008,0.07112422156669944,0.02190994900170559,0.11650447760158011,0.03401067969568415,0.4681402095482521,0.15728715728715728
CLAHE -- Clean (C&W/Square subset),Fine-tuned,CLAHE,Clean,0.0,300-image attack subset,300,0.2,0.4154929577464789,0.2700228832951945,0.16226999264924963,0.32533303590995905,0.20824657138620156,0.7793202199394476,0.07595238095238095
CLAHE vs C&W eps=8,Fine-tuned,CLAHE,C&W,8.0,300-image attack subset,300,0.06769230769230769,0.30985915492957744,0.1111111111111111,0.046968329033385686,0.17828378886071197,0.05997917534882858,0.5462012032806007,0.1676190476190476
CLAHE vs C&W eps=16,Fine-tuned,CLAHE,C&W,16.0,300-image attack subset,300,0.05897435897435897,0.323943661971831,0.09978308026030369,0.04360043953141545,0.1882196862966094,0.05579939377953007,0.48253931961970614,0.1976190476190476
CLAHE vs C&W eps=32,Fine-tuned,CLAHE,C&W,32.0,300-image attack subset,300,0.05160390516039052,0.2605633802816901,0.08614668218859138,0.023688788201550737,0.1482260261106415,0.03947883583227201,0.4724703569676676,0.1869047619047619
CLAHE vs Square eps=8,Fine-tuned,CLAHE,Square,8.0,300-image attack subset,300,0.11294765840220386,0.2887323943661972,0.16237623762376238,0.08657321866876794,0.16702005259697572,0.09134121886496048,0.6123186828385492,0.10071428571428571
CLAHE vs Square eps=16,Fine-tuned,CLAHE,Square,16.0,300-image attack subset,300,0.10176991150442478,0.323943661971831,0.15488215488215487,0.0915721591322009,0.18519770827463133,0.08749272554057788,0.5884962062967135,0.11952380952380952
CLAHE vs Square eps=32,Fine-tuned,CLAHE,Square,32.0,300-image attack subset,300,0.08103448275862069,0.33098591549295775,0.13019390581717452,0.056382406608884356,0.19086518894211205,0.06843108922199452,0.5216926755304688,0.14952380952380953
Robust -- Clean,Adversarially trained,Adversarial Training,Clean,0.0,Full test,2574,0.18043202033036848,0.3800178412132025,0.2446869615163699,0.15995980358750236,0.2926975689979973,0.19752230078710564,0.7712600632932759,0.07298257298257298
Robust vs FGSM eps=8,Adversarially trained,Adversarial Training,FGSM,8.0,Full test,2574,0.16687344913151364,0.47992863514719003,0.2476409666283084,0.12727828578320455,0.34068654704424634,0.1808275824580806,0.7703316348222852,0.09071484071484072
Robust vs FGSM eps=16,Adversarially trained,Adversarial Training,FGSM,16.0,Full test,2574,0.1498176133402814,0.5129348795718108,0.23190159306311756,0.11291134624090829,0.35490690624986104,0.16763611924787192,0.7379638103255521,0.1056998556998557
Robust vs FGSM eps=32,Adversarially trained,Adversarial Training,FGSM,32.0,Full test,2574,0.1251621271076524,0.5165031222123104,0.20149643292152428,0.0919576579569112,0.33946310673776414,0.14048785633501504,0.695133430153149,0.12734487734487734
Robust vs PGD eps=8,Adversarially trained,Adversarial Training,PGD,8.0,Full test,2574,0.13101952277657267,0.5388046387154326,0.21078345838422613,0.10559160718010598,0.39799974197529797,0.16018701573258703,0.7524184130138041,0.12551337551337552
Robust vs PGD eps=16,Adversarially trained,Adversarial Training,PGD,16.0,Full test,2574,0.09174311926605505,0.5976806422836753,0.1590693257359924,0.0726337725420352,0.4477190425205701,0.1214838548565327,0.7166359667071657,0.19658119658119658
Robust vs PGD eps=32,Adversarially trained,Adversarial Training,PGD,32.0,Full test,2574,0.07889225040726087,0.6048171275646744,0.1395779722079259,0.06066954895473146,0.43458364346399714,0.10350509794719455,0.6835074744579295,0.23196248196248195
Robust vs DeepFool eps=8,Adversarially trained,Adversarial Training,DeepFool,8.0,Full test,2574,0.064212113596381,0.455842997323818,0.1125674633770239,0.0685767710583656,0.3999204481090968,0.10287523791318477,0.6920357542157836,0.22358197358197357
Robust vs DeepFool eps=16,Adversarially trained,Adversarial Training,DeepFool,16.0,Full test,2574,0.02910590117531229,0.42194469223907227,0.054455445544554455,0.028977037414848177,0.42247916367071486,0.047347175987539666,0.4782913823642854,0.45582195582195584
Robust vs DeepFool eps=32,Adversarially trained,Adversarial Training,DeepFool,32.0,Full test,2574,0.021782365754332796,0.4103479036574487,0.04136876658123117,0.01620971617824011,0.46849619720682467,0.02990677687212218,0.30155508042797535,0.5916028416028416
Robust -- Clean (C&W/Square subset),Adversarially trained,Adversarial Training,Clean,0.0,300-image attack subset,300,0.18772563176895307,0.42276422764227645,0.26,0.18333468789373206,0.36422558922558923,0.2222957851634322,0.785294311721764,0.07047619047619047
Robust vs C&W eps=8,Adversarially trained,Adversarial Training,C&W,8.0,300-image attack subset,300,0.07322175732217573,0.49295774647887325,0.12750455373406194,0.08199356480291958,0.4598607588992204,0.12340851256284349,0.6948952826044551,0.2280952380952381
Robust vs C&W eps=16,Adversarially trained,Adversarial Training,C&W,16.0,300-image attack subset,300,0.032568072610784836,0.4295774647887324,0.06054590570719603,0.030095840649338075,0.4772541561003099,0.050268019019108004,0.4418133672042354,0.45071428571428573
Robust vs C&W eps=32,Adversarially trained,Adversarial Training,C&W,32.0,300-image attack subset,300,0.023323615160349854,0.39436619718309857,0.04404246952418404,0.015206129890997233,0.5161172161172162,0.028681248717551417,0.21333684228067293,0.5788095238095238
Robust vs Square eps=8,Adversarially trained,Adversarial Training,Square,8.0,300-image attack subset,300,0.15942028985507245,0.4647887323943662,0.23741007194244604,0.16004541505093586,0.35402147709840015,0.2070459176327118,0.7569062898962682,0.10095238095238095
Robust vs Square eps=16,Adversarially trained,Adversarial Training,Square,16.0,300-image attack subset,300,0.1275797373358349,0.4788732394366197,0.20148148148148148,0.12782711177328945,0.3626753232522463,0.17967811937574113,0.7310186668390475,0.12833333333333333
Robust vs Square eps=32,Adversarially trained,Adversarial Training,Square,32.0,300-image attack subset,300,0.0835978835978836,0.5563380281690141,0.1453541858325667,0.08055431676817466,0.42778090855013934,0.12694176999834234,0.6939639100567147,0.2211904761904762
Combined -- Clean,Adversarially trained,Adversarial Training + CLAHE,Clean,0.0,Full test,2574,0.0831314072693383,0.39785905441570024,0.13752698119025594,0.09254946509457114,0.26992882892893644,0.11971989171644234,0.6631084099508986,0.15523365523365523
Combined vs FGSM eps=8,Adversarially trained,Adversarial Training + CLAHE,FGSM,8.0,Full test,2574,0.09591584158415842,0.41480820695807313,0.15580499246104876,0.09511975914087689,0.26685805546985514,0.12617251076414018,0.6829164524590192,0.13983238983238983
Combined vs FGSM eps=16,Adversarially trained,Adversarial Training + CLAHE,FGSM,16.0,Full test,2574,0.10209129750393524,0.4049955396966994,0.16307471264367815,0.09255453203710343,0.26309931883308657,0.12272197584577282,0.6658651424418679,0.1293151293151293
Combined vs FGSM eps=32,Adversarially trained,Adversarial Training + CLAHE,FGSM,32.0,Full test,2574,0.09697344039530574,0.280107047279215,0.14406974076623077,0.09551676524510613,0.15581777640143174,0.08557893937172913,0.6165565263669668,0.10353535353535354
Combined vs PGD eps=8,Adversarially trained,Adversarial Training + CLAHE,PGD,8.0,Full test,2574,0.08924402944873407,0.4433541480820696,0.14857997010463378,0.0889015928110204,0.2950375012883312,0.12181400236156976,0.6657250087126069,0.15806415806415808
Combined vs PGD eps=16,Adversarially trained,Adversarial Training + CLAHE,PGD,16.0,Full test,2574,0.08359543121999669,0.4504906333630687,0.14102206087685004,0.06830679976785523,0.3081122671173545,0.10218732244791266,0.6600960042814964,0.17071817071817072
Combined vs PGD eps=32,Adversarially trained,Adversarial Training + CLAHE,PGD,32.0,Full test,2574,0.08181818181818182,0.4335414808206958,0.13765755558702733,0.061055689763839,0.2729122116343323,0.0915966929286597,0.6515086195010442,0.16896991896991898
Combined vs DeepFool eps=8,Adversarially trained,Adversarial Training + CLAHE,DeepFool,8.0,Full test,2574,0.06361751749157812,0.43800178412132024,0.11109854055888675,0.05914197131304912,0.3445622545657378,0.08893838536023688,0.615449361307323,0.21803196803196803
Combined vs DeepFool eps=16,Adversarially trained,Adversarial Training + CLAHE,DeepFool,16.0,Full test,2574,0.04497855789368704,0.4023193577163247,0.08091137423753139,0.0391491558591951,0.335831733233485,0.06311766880041818,0.5396080553362408,0.2843267843267843
Combined vs DeepFool eps=32,Adversarially trained,Adversarial Training + CLAHE,DeepFool,32.0,Full test,2574,0.03612088594493894,0.3113291703835861,0.06473152183993323,0.026247960802264044,0.2395499246417543,0.04206195856560375,0.4792519829510237,0.2798590298590299
Combined -- Clean (C&W/Square subset),Adversarially trained,Adversarial Training + CLAHE,Clean,0.0,300-image attack subset,300,0.07903225806451612,0.3983739837398374,0.13189771197846567,0.1009126740984463,0.2587752525252525,0.11775449304472306,0.700085475251916,0.15357142857142858
Combined vs C&W eps=8,Adversarially trained,Adversarial Training + CLAHE,C&W,8.0,300-image attack subset,300,0.06728778467908902,0.45774647887323944,0.11732851985559567,0.061631882810734916,0.36374800413261954,0.09376898685905158,0.6066726749886228,0.23285714285714285
Combined vs C&W eps=16,Adversarially trained,Adversarial Training + CLAHE,C&W,16.0,300-image attack subset,300,0.049441786283891544,0.43661971830985913,0.08882521489971347,0.0473936590819644,0.3963839579224195,0.07460206699068568,0.5356912494382817,0.3028571428571429
Combined vs C&W eps=32,Adversarially trained,Adversarial Training + CLAHE,C&W,32.0,300-image attack subset,300,0.03792250618301731,0.323943661971831,0.06789667896678966,0.030745464268447195,0.2576163864625403,0.04743310968936731,0.4806694278846564,0.3007142857142857
Combined vs Square eps=8,Adversarially trained,Adversarial Training + CLAHE,Square,8.0,300-image attack subset,300,0.08559201141226819,0.4225352112676056,0.1423487544483986,0.1057050281921416,0.26689677843523996,0.12838869838266373,0.6526141564411072,0.17214285714285715
Combined vs Square eps=16,Adversarially trained,Adversarial Training + CLAHE,Square,16.0,300-image attack subset,300,0.0823045267489712,0.4225352112676056,0.1377726750861079,0.0860923071402062,0.2641495256879872,0.1152316594106042,0.6272244065067535,0.1788095238095238
Combined vs Square eps=32,Adversarially trained,Adversarial Training + CLAHE,Square,32.0,300-image attack subset,300,0.07335907335907337,0.4014084507042254,0.12404787812840043,0.06547748584744954,0.22207077110923262,0.09172447383519819,0.6206738741789359,0.19166666666666668
